Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Rok výroby,Palivo,Převodovka,Kola,Náhon 4x4,Extra,Objem motoru,Typ motoru,Hybrid typ,Karoserie,Výbava,Záruka,Stav,Zdroj,Odkaz na auto
Škoda Scala 1.0 TSI,299000,113826,81,2023,Benzín,,,Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15863-skoda-scala-1-0-tsi-81kw.html
Škoda Fabia 1.0 TSI,332000,79739,70,2022,Benzín,,,Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15847-skoda-fabia-1-0-tsi-70kw.html
Škoda Fabia 1.0 MPI,363999,29389,59,2022,Benzín,,,Ne,Oranžová Phoenix metalíza,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15827-skoda-fabia-1-0-mpi-59kw-oranzova-phoenix-metaliza.html
Škoda Octavia 4 Combi 1.5 TSI e-TEC,597000,21937,110,2023,Benzín,Automat,ALU 16'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15802-skoda-octavia-4-combi-1-5-tsi-e-tec-110kw-dsg-alu-16.html
Škoda Superb 3 Combi Sportline 1.5 TSI,525000,176340,110,2022,Benzín,Automat,ALU 19''+ ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15775-skoda-superb-3-combi-sportline-1-5-tsi-110kw-dsg-alu-19-alu-17.html
VW Golf 8 Variant 1.5 TSI,431999,96926,96,2021,Benzín,,ALU 17'',Ne,,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15774-volkswagen-golf-8-variant-1-5-tsi-96kw-alu-17.html
VW Tiguan Comfortline 1.5 TSI,479000,98729,96,2020,Benzín,,ALU 17'',Ne,Man.,,,,,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15769-volkswagen-tiguan-comfortline-1-5-tsi-96kw-man-alu-17.html
Škoda Fabia Combi 1.0 TSI,252000,92956,70,2022,Benzín,,,Ne,,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15693-skoda-fabia-combi-1-0-tsi-70kw.html
VW Golf Style 1.5 TSI,447000,126486,110,2022,Benzín,,ALU 18''+ zimní sada,Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15664-volkswagen-golf-style-1-5-tsi-110kw-alu-18-zimni-sada.html
VW Passat B8 Variant Elegance 4Motion 2.0 TSI,687000,62040,206,2021,Benzín,Automat,ALU 17'',Ne,4x4 DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15653-volkswagen-passat-b8-variant-elegance-4motion-2-0-tsi-206kw-4x4-dsg-alu-17.html
VW Golf Style 1.5 TSI,446000,59991,96,2021,Benzín,,ALU 17'',Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15652-volkswagen-golf-style-1-5-tsi-96kw-alu-17.html
Seat Leon SP 1.5 eTSI,447000,110842,110,2022,Benzín,Automat,ALU 18''+ ALU 17'',Ne,DSG -Line,,,,,FR,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15590-seat-leon-sp-1-5-etsi-110kw-dsg-fr-line-alu-18-alu-17.html
Audi A3 Sportback 30 TFSI,462000,49118,81,2021,Benzín,,ALU 17''+ zimní sada,Ne,,,,,Sportback,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15523-audi-a3-sportback-30-tfsi-81kw-alu-17-zimni-sada.html
Seat Alhambra Style 1.4 TSI,541000,108914,110,2021,Benzín,Automat,ALU 16''+ zimní sada,Ne,DSG 7- Míst,,,,,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15596-seat-alhambra-style-1-4-tsi-110kw-dsg-7-mist-alu-16-zimni-sada.html
Škoda Superb 3 Combi Style 2.0 TSI,672000,62770,140,2022,Benzín,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15535-skoda-superb-3-combi-style-2-0-tsi-140kw-dsg-alu-17-zimni-sada.html
Škoda Octavia 4 Sedan Selection 1.5 TSI e-TEC,626000,19717,110,2025,Benzín,Automat,ALU 16'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15553-skoda-octavia-4-sedan-selection-1-5-tsi-e-tec-110kw-dsg-alu-16.html
VW T-Roc Style 1.5 TSI,527000,132685,110,2023,Benzín,Automat,ALU 18''+ ALU 16'',Ne,DSG,,,,,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15384-volkswagen-t-roc-style-1-5-tsi-110kw-dsg-alu-18-alu-16.html
VW Golf 8 1.5 TSI,457000,84874,96,2023,Benzín,,ALU 17'',Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15423-volkswagen-golf-8-1-5-tsi-96kw-man-alu-17.html
Seat Tarraco Xperience 2.0 TSI,849000,47708,140,2023,Benzín,Automat,ALU 19'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15407-seat-tarraco-xperience-2-0-tsi-140kw-4x4-dsg-alu-19.html
Porsche 911 Targa 4S 3.0 Bi-turbo,3362000,58801,331,2021,Benzín,Manual,,Ne,4x4 + 7st. manuální převodovka Porsche Ceramic Composite Brake Sport-Chrono paket,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14789-porsche-911-targa-4s-3-0-bi-turbo-331kw-4x4-7st-manualni-prevodovka-porsche-ceramic-composite-brake-sport-chrono-paket.html
Škoda Karoq Sportline 1.5 TSI,682000,51069,110,2023,Benzín,Automat,ALU 18''+ ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15396-skoda-karoq-sportline-1-5-tsi-110kw-dsg-alu-18-alu-17.html
Škoda Karoq Sportline 1.5 TSI,679000,62809,110,2023,Benzín,Automat,ALU 18''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15397-skoda-karoq-sportline-1-5-tsi-110kw-dsg-alu-18-zimni-sada.html
Škoda Octavia 4 Sedan Selection 1.5 TSI e-TEC,611000,25041,110,2024,Benzín,Automat,ALU 16'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15394-skoda-octavia-4-sedan-selection-1-5-tsi-e-tec-110kw-dsg-alu-16.html
Škoda Octavia 4 Combi Selection 1.5 TSI e-TEC,679000,18481,110,2025,Benzín,Automat,ALU 16'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15392-skoda-octavia-4-combi-selection-1-5-tsi-e-tec-110kw-dsg-alu-16.html
VW T-Roc 1.5 TSI,542000,22800,110,2022,Benzín,,ALU 17'',Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15395-volkswagen-t-roc-1-5-tsi-110kw-man-alu-17.html
VW Touran 1.4 TSI Highline,274000,88902,103,2011,Benzín,Automat,ALU 17'',Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15291-volkswagen-touran-1-4-tsi-highline-103kw-alu-17.html
Audi A4 Avant 2.0 TSI,598000,41941,110,2022,Benzín,Automat,,Ne,S-tronic 2 roky plná záruka v ceně,,,,,,Ano,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14485-audi-a4-avant-2-0-tsi-110kw-s-tronic-2-roky-plna-zaruka-v-cene.html
Škoda Octavia 4 Combi 1.5 TSI,409000,117244,110,2023,Benzín,,ALU 16''+ zimní sada,Ne,,,,,Combi,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15326-skoda-octavia-4-combi-1-5-tsi-110kw-alu-16-zimni-sada.html
Škoda Octavia 4 Combi 1.5 TSI,452000,85374,110,2022,Benzín,,ALU 16''+ zimní sada,Ne,,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15328-skoda-octavia-4-combi-1-5-tsi-110kw-alu-16-zimni-sada.html
Cupra Formentor 2.0 TSI,685000,46380,140,2023,Benzín,Automat,ALU 19'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15318-cupra-formentor-2-0-tsi-140kw-4x4-dsg-alu-19.html
VW Golf 7 Variant Comfortline 1.5 TSI,392000,115757,96,2020,Benzín,,ALU 17'',Ne,,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15264-volkswagen-golf-7-variant-comfortline-1-5-tsi-96kw-alu-17.html
Škoda Octavia 4 Combi Style 1.5 TSI,466000,73617,110,2022,Benzín,,ALU 17''+ zimní sada,Ne,,,,,Combi,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15270-skoda-octavia-4-combi-style-1-5-tsi-110kw-alu-17-zimni-sada.html
Škoda Octavia 4 Sedan Style 1.5 TSI,457000,75314,110,2022,Benzín,,ALU 17''+ zimní sada,Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15242-skoda-octavia-4-sedan-style-1-5-tsi-110kw-man-alu-17-zimni-sada.html
VW Golf GOAL 1.5 TSI,549000,24070,85,2025,Benzín,,ALU 16'',Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14951-volkswagen-golf-goal-1-5-tsi-85kw-man-alu-16.html
Škoda Octavia 4 Combi 1.5 TSI,432000,95954,110,2022,Benzín,,ALU 16'',Ne,Man.,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15219-skoda-octavia-4-combi-1-5-tsi-110kw-man-alu-16.html
VW Golf 8 Variant Style 1.5 TSI,420000,129953,96,2021,Benzín,,ALU 17'',Ne,Man.,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15090-volkswagen-golf-8-variant-style-1-5-tsi-96kw-man-alu-17.html
Škoda Octavia 4 Combi Style 1.5 TSI,590000,18451,110,2024,Benzín,,ALU 17''/ Phoenix-Orange Premium Metallic,Ne,Man.,,,,Combi,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15095-skoda-octavia-4-combi-style-1-5-tsi-110kw-man-alu-17-phoenix-orange-premium-metallic.html
VW Caddy Kombi 1.5 TSI,517000,57939,84,2021,Benzín,,,Ne,57 939 km 2 2021 517 000 Kč,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15086-volkswagen-caddy-kombi-1-5-tsi-84kw.html
VW Golf 8 Hatchback 1.5 TSI,469000,43642,96,2023,Benzín,,ALU 16'',Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15076-volkswagen-golf-8-hatchback-1-5-tsi-96kw-man-alu-16.html
VW Golf 7 Variant Highline 1.5 TSI,262000,210939,110,2021,Benzín,Automat,ALU 17'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15039-volkswagen-golf-7-variant-highline-1-5-tsi-110kw-dsg-alu-17.html
VW Tiguan Life 1.5 TSI,567000,79421,110,2022,Benzín,Automat,,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15049-volkswagen-tiguan-life-1-5-tsi-110kw-dsg.html
VW Golf 8 1.5 TSI,596000,8102,110,2025,Benzín,,,Ne,Man.,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15051-volkswagen-golf-8-1-5-tsi-110kw-man-.html
VW Tiguan 1.5 TSI,504000,107704,96,2021,Benzín,,ALU 17'',Ne,,,,,,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15015-volkswagen-tiguan-1-5-tsi-96kw-alu-17.html
Škoda Superb 3 Combi Sportline 2.0 TDI,688000,70742,110,2023,Nafta,Automat,ALU 19''+ ALU 16'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15919-skoda-superb-3-combi-sportline-2-0-tdi-110kw-dsg-alu-19-alu-16.html
Škoda Superb 3 Combi 2.0 TDI,395000,142394,88,2020,Nafta,Automat,,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15935-skoda-superb-3-combi-2-0-tdi-88kw-dsg.html
Škoda Superb 3 Combi Style 2.0 TDI,620000,104355,147,2023,Nafta,Automat,ALU 18'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15952-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-18.html
Škoda Superb 3 Combi Style 2.0 TDI,497000,167439,147,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15965-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
VW Tiguan Elegance 2.0 TDI,558000,71898,110,2022,Nafta,,ALU 18''+ ALU 17'',Ne,,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15977-volkswagen-tiguan-elegance-2-0-tdi-110kw-alu-18-alu-17.html
VW Passat B8 Variant 2.0 TDI,399000,171186,110,2023,Nafta,Automat,2x sada ALU 16'',Ne,DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15978-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-r-line-2x-sada-alu-16.html
Škoda Kodiaq 2.0 TDI,496000,183774,110,2023,Nafta,Automat,ALU 17''+ zimní sada,Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15968-skoda-kodiaq-2-0-tdi-110kw-4x4-dsg-alu-17-zimni-sada.html
Škoda Superb 3 Combi Laurin & Klement 2.0 TDI,677000,117368,147,2023,Nafta,Automat,ALU 19''+ ALU 17'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15973-skoda-superb-3-combi-laurin-klement-2-0-tdi-147kw-4x4-dsg-alu-19-alu-17.html
Škoda Kodiaq Style 2.0 TDI,766000,95836,147,2023,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15971-skoda-kodiaq-style-2-0-tdi-147kw-4x4-dsg-alu-18-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,466000,121447,110,2022,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15974-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-2x-sada-alu-17.html
VW Golf 8 Variant 2.0 TDI,482000,161899,110,2023,Nafta,Automat,ALU 18''+ ALU 16'',Ne,DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15979-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-r-line-alu-18-alu-16.html
Škoda Superb 3 Combi Style 2.0 TDI,611996,81098,110,2023,Nafta,Automat,ALU 17''+ ALU 16'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15982-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-alu-17-alu-16.html
Škoda Kodiaq Style 2.0 TDI,757000,81747,147,2022,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15987-skoda-kodiaq-style-2-0-tdi-147kw-4x4-dsg-alu-18-alu-17.html
