Model auta,Cena (Kč),Nájezd (km),Výkon (kW),Rok výroby,Palivo,Převodovka,Kola,Náhon 4x4,Extra,Objem motoru,Typ motoru,Hybrid typ,Karoserie,Výbava,Záruka,Stav,Zdroj,Odkaz na auto
VW Passat B8 Variant Elegance 2.0 TDI,596000,66758,110,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15348-volkswagen-passat-b8-variant-elegance-2-0-tdi-110kw-dsg-alu-17.html
VW Passat B8 Variant Elegance 4Motion 2.0 TDI,609000,110838,147,2021,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15349-volkswagen-passat-b8-variant-elegance-4motion-2-0-tdi-147kw-4x4-dsg-r-line-alu-19.html
Audi A4 Avant 2.0 TDI  35 eTDI,580000,86995,120,2022,Nafta,Automat,ALU 17'',Ne,S-Tronic,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15889-audi-a4-avant-2-0-tdi-35-etdi-120kw-s-tronic-alu-17.html
Cupra Formentor 2.0 TDI,563000,87942,110,2021,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15886-cupra-formentor-2-0-tdi-110kw-4x4-dsg-alu-18-alu-17.html
Škoda Kodiaq 2.0 TDI,906000,49198,147,2023,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15302-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-sportline-alu-19.html
Škoda Kodiaq 2.0 TDI,969000,34602,147,2024,Nafta,Automat,ALU 20'',Ne,4x4 DSG,,,,,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15303-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-sportline-alu-20.html
VW Tiguan 2.0 TDI,769000,25767,110,2025,Nafta,Automat,ALU 18'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15185-volkswagen-tiguan-2-0-tdi-110kw-dsg-2025-alu-18.html
Škoda Superb Combi Style 2.0 TDI,646000,98666,147,2023,Nafta,Automat,ALU 17'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15186-skoda-superb-combi-style-2-0-tdi-147kw-4x4-dsg-alu-17.html
Škoda Kodiaq Style 2.0 TDI,916000,25059,147,2023,Nafta,Automat,2x sada ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15243-skoda-kodiaq-style-2-0-tdi-147kw-4x4-dsg-2x-sada-alu-18.html
Škoda Superb 3 Sedan 2.0 TDI,687000,72782,147,2022,Nafta,Automat,ALU 18'',Ne,DSG Premium,,,,,Style,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15207-skoda-superb-3-sedan-2-0-tdi-147kw-dsg-style-premium-alu-18.html
Seat Ateca Xperience 2.0 TDI,498000,93642,110,2022,Nafta,Automat,ALU 18'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15113-seat-ateca-x-perience-2-0-tdi-110kw-dsg-alu-18.html
VW Passat B8 Variant Business 2.0 TDI,496000,113680,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15182-volkswagen-passat-b8-variant-business-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Ford Tourneo Custom 2.0 EcoBlue,962000,29124,100,2025,Nafta,,,Ne,9-míst Tažné,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15865-ford-tourneo-custom-2-0-ecoblue-100kw-9-mist-tazne.html
Škoda Kodiaq 2.0 TDI,569000,150449,110,2023,Nafta,Automat,ALU 18''+ zimní sada,Ne,DSG Webasto,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15920-skoda-kodiaq-2-0-tdi-110kw-dsg-webasto-alu-18-zimni-sada.html
Škoda Octavia 4 Combi Style 2.0 TDI,398000,170266,110,2022,Nafta,Automat,2x sada ALU 17'',Ne,4x4 DSG,,,,Combi,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15899-skoda-octavia-4-combi-style-2-0-tdi-110kw-4x4-dsg-2x-sada-alu-17.html
VW Golf 8 Variant 2.0 TDI,341000,181960,110,2022,Nafta,,2x sada ALU 16'',Ne,,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15882-volkswagen-golf-8-variant-2-0-tdi-110kw-2x-sada-alu-16.html
VW Touran 2.0 TDI,442000,168780,110,2022,Nafta,Automat,2x sada ALU 16'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15921-volkswagen-touran-2-0-tdi-110kw-dsg-2x-sada-alu-16.html
VW Tiguan R-Line 4Motion 2.0 TDI,786000,64745,147,2023,Nafta,Automat,ALU 20''+ ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15929-volkswagen-tiguan-r-line-4motion-2-0-tdi-147kw-4x4-dsg-alu-20-alu-18.html
Škoda Superb 3 Combi Style 2.0 TDI,496000,154835,147,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15873-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
Škoda Superb 3 Combi Sportline 2.0 TDI,532000,182499,147,2023,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15913-skoda-superb-3-combi-sportline-2-0-tdi-147kw-4x4-dsg-alu-18.html
Škoda Kodiaq Sportline 2.0 TDI,789000,78848,110,2023,Nafta,Automat,ALU 19''+ ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15892-skoda-kodiaq-sportline-2-0-tdi-110kw-dsg-alu-19-alu-17.html
Audi A4 40 Avant S-line Quattro 40TDI,649000,95528,150,2022,Nafta,Automat,2x sada ALU 18'',Ne,4x4 S-tronic,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15927-audi-a4-40-avant-s-line-quattro-40tdi-150kw-4x4-s-tronic-2x-sada-alu-18.html
VW Touran Highline 2.0 TDI,528000,150516,110,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15896-volkswagen-touran-highline-2-0-tdi-110kw-dsg-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,558000,119838,147,2022,Nafta,Automat,ALU 18''+ ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15914-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-18-alu-17.html
Škoda Superb 3 Combi Sportline 2.0 TDI,613000,160053,147,2023,Nafta,Automat,ALU 19''+ ALU 17'',Ne,DSG,,,,Combi,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15916-skoda-superb-3-combi-sportline-2-0-tdi-147kw-dsg-alu-19-alu-17.html
Škoda Octavia 4 Combi 2.0 TDI,436000,152746,110,2023,Nafta,Automat,,Ne,Webasto,,,,Combi,Style,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15879-skoda-octavia-4-combi-2-0-tdi-110kw-style-webasto.html
VW Tiguan R-Line 4Motion 2.0 TDI,782000,96436,147,2022,Nafta,Automat,ALU 20'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15933-volkswagen-tiguan-r-line-4motion-2-0-tdi-147kw-4x4-dsg-alu-20.html
Škoda Superb 3 Combi Style 2.0 TDI,533000,130190,147,2023,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Combi,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15890-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-2x-sada-alu-17.html
VW Passat B8 Variant 2.0 TDI,435000,143986,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15906-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
VW Golf 8 Variant 2.0 TDI,415000,149919,110,2023,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15832-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16.html
VW Golf 8 Variant 2.0 TDI,399000,160983,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15912-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Seat Ateca Xperience 2.0 TDI,452000,149824,110,2022,Nafta,Automat,ALU 18'',Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15883-seat-ateca-xperience-2-0-tdi-110kw-dsg-alu-18.html
Audi A6 Avant Sport 2.0 40TDI,682000,97551,150,2021,Nafta,Automat,ALU 18''+ ALU 16'',Ne,S-tronic,,,,,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15928-audi-a6-avant-sport-2-0-40tdi-150kw-s-tronic-alu-18-alu-16.html
Škoda Superb 3 Combi Style 2.0 TDI,528000,140342,147,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15915-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,472000,182681,147,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15904-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-17.html
Cupra Formentor 2.0 TDI,627000,94978,110,2023,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15926-cupra-formentor-2-0-tdi-110kw-4x4-dsg-alu-18.html
VW Tiguan Elegance 4Motion 2.0 TDI,680000,117023,110,2022,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15895-volkswagen-tiguan-elegance-4motion-2-0-tdi-110kw-4x4-dsg-alu-19.html
VW Tiguan R-Line 4Motion 2.0 TDI,796000,86800,147,2022,Nafta,Automat,ALU 19''+ ALU 18'',Ne,4x4 DSG,,,,,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15884-volkswagen-tiguan-r-line-4motion-2-0-tdi-147kw-4x4-dsg-alu-19-alu-18.html
Škoda Superb 3 Combi Laurin & Klement 2.0 TDI,538000,174429,147,2023,Nafta,Automat,ALU 19''+ ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15902-skoda-superb-3-combi-laurin-klement-2-0-tdi-147kw-dsg-alu-19-alu-17.html
VW Passat B8 Variant 2.0 TDI,439000,150524,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15898-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Škoda Kodiaq RS 2.0 TDI,679000,158232,176,2020,Nafta,Automat,ALU 20'',Ne,4x4 DSG Webasto,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15862-skoda-kodiaq-rs-2-0-tdi-176kw-4x4-dsg-webasto-alu-20.html
Škoda Kodiaq 2.0 TDI,717000,160816,110,2024,Nafta,Automat,ALU 19'',Ne,DSG,,,,,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15907-skoda-kodiaq-2-0-tdi-110kw-dsg-sportline-alu-19.html
Škoda Kodiaq Style 2.0 TDI,569000,157541,110,2023,Nafta,Automat,ALU 18'',Ne,DSG Facelift,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15905-skoda-kodiaq-style-2-0-tdi-110kw-dsg-facelift-alu-18.html
VW Golf 8 Variant R-Line 2.0 TDI,417000,178115,110,2022,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15837-volkswagen-golf-8-variant-r-line-2-0-tdi-110kw-dsg-2x-sada-alu-17.html
Škoda Octavia 3 Combi 1.6 TDI,347000,62761,85,2020,Nafta,,,Ne,,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15495-skoda-octavia-3-combi-1-6-tdi-85kw.html
VW Tiguan Allspace Highline 4Motion 2.0 TDI,712000,82768,147,2021,Nafta,Automat,ALU 18''+ zimní pneu,Ne,4x4 DSG,,,,Allspace,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15175-volkswagen-tiguan-allspace-highline-4motion-2-0-tdi-147kw-4x4-dsg-alu-18-zimni-pneu.html
Škoda Octavia 4 Combi Style 2.0 TDI,517000,89662,110,2023,Nafta,Automat,ALU 17''+ ALU 16'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15854-skoda-octavia-4-combi-style-2-0-tdi-110kw-dsg-alu-17-alu-16.html
VW Golf 8 Variant 2.0 TDI,420999,148941,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15845-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
VW Golf 8 Variant 2.0 TDI,436000,110444,110,2022,Nafta,Automat,2x sada ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15846-volkswagen-golf-8-variant-2-0-tdi-110kw-dsg-2x-sada-alu-16.html
Škoda Superb 3 Combi Style 2.0 TDI,551000,142154,147,2022,Nafta,Automat,ALU 19''+ ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15843-skoda-superb-3-combi-style-2-0-tdi-147kw-dsg-alu-19-alu-17.html
VW Passat B8 Variant Elegance 4Motion 2.0 TDI,521000,163383,147,2023,Nafta,Automat,ALU 19'',Ne,4x4 DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15850-volkswagen-passat-b8-variant-elegance-4motion-2-0-tdi-147kw-4x4-dsg-alu-19.html
Škoda Octavia 4 Combi Style 2.0 TDI,438000,161666,110,2023,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15861-skoda-octavia-4-combi-style-2-0-tdi-110kw-dsg-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,583000,76892,110,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15869-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-alu-17.html
VW Passat B8 Variant 2.0 TDI,499000,163113,147,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,Variant,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15858-volkswagen-passat-b8-variant-2-0-tdi-147kw-dsg-r-line-alu-17.html
Seat Ateca Style 2.0 TDI,442000,155493,110,2022,Nafta,Automat,ALU 17'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15839-seat-ateca-style-2-0-tdi-110kw-4x4-dsg-alu-17.html
Škoda Superb 3 Combi 2.0 TDI,587000,166022,147,2022,Nafta,Automat,ALU 19'',Ne,DSG,,,,Combi,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15046-skoda-superb-3-combi-2-0-tdi-147kw-dsg-sportline-alu-19.html
Škoda Octavia 4 Combi Scout 2.0 TDI,656000,73705,110,2023,Nafta,Automat,ALU 18''+ zimní pneu,Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15089-skoda-octavia-4-combi-scout-2-0-tdi-110kw-4x4-dsg-alu-18-zimni-pneu.html
Škoda Superb 3 Combi Style 2.0 TDI,686000,89367,147,2022,Nafta,Automat,2x sada ALU 18'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15079-skoda-superb-3-combi-style-2-0-tdi-147kw-4x4-dsg-2x-sada-alu-18.html
Škoda Karoq Style 2.0 TDI,498000,125512,140,2020,Nafta,Automat,ALU 19''+ zimní sada,Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15037-skoda-karoq-style-2-0-tdi-140kw-4x4-dsg-alu-19-zimni-sada.html
Škoda Kodiaq 2.0 TDI,876000,57833,147,2023,Nafta,Automat,ALU 19'',Ne,4x4 DSG Laurin & Klement,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14892-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-laurin-klement-alu-19.html
VW Arteon 2.0 BiTDI,394000,152047,176,2017,Nafta,Automat,ALU 18'',Ne,4x4 DSG 4Motion,,,,,Elegance,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14837-volkswagen-arteon-2-0-bitdi-176kw-4x4-dsg-elegance-4motion-alu-18.html
VW Passat B8 Variant 2.0 TDI,448000,103235,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14838-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16.html
Mercedes-Benz C 300d,852000,53155,195,2023,Nafta,Automat,,Ne,AVANTGARDE,,,,,,Ano,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/14743-mercedes-benz-c-300d-195kw-avantgarde.html
Škoda Superb 3 Combi Laurin & Klement 2.0 TDI,529000,147106,110,2021,Nafta,Automat,ALU 18''+ zimní sada,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15790-skoda-superb-3-combi-laurin-klement-2-0-tdi-110kw-dsg-alu-18-zimni-sada.html
Škoda Superb 3 Combi Style 2.0 TDI,499000,139118,110,2022,Nafta,Automat,2x sada ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15785-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-2x-sada-alu-17.html
VW Passat B8 Variant 2.0 TDI,399000,171705,110,2022,Nafta,Automat,ALU 16'',Ne,DSG,,,,Variant,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15819-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16.html
VW Touran Highline 2.0 TDI,546000,134091,110,2022,Nafta,Automat,ALU 17'',Ne,DSG,,,,,,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15821-volkswagen-touran-highline-2-0-tdi-110kw-dsg-alu-17.html
Audi Q5 Sportback S-line quattro 40TDI,1066000,25035,150,2024,Nafta,Automat,ALU 20'',Ne,4x4 S-tronic Webasto,,,,Sportback,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15803-audi-q5-sportback-s-line-quattro-40tdi-150kw-4x4-s-tronic-webasto-alu-20.html
Škoda Octavia 4 Sedan Style 2.0 TDI,461000,154254,110,2022,Nafta,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15801-skoda-octavia-4-sedan-style-2-0-tdi-110kw-dsg-alu-17-zimni-sada.html
Škoda Superb 3 Combi Scout 2.0 TDI,590000,145142,147,2023,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG Webasto,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15816-skoda-superb-3-combi-scout-2-0-tdi-147kw-4x4-dsg-webasto-alu-18-alu-17.html
Škoda Superb 3 Combi Sportline 2.0 TDI,520000,219363,147,2023,Nafta,Automat,ALU 19''+ ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15818-skoda-superb-3-combi-sportline-2-0-tdi-147kw-dsg-alu-19-alu-17.html
Škoda Kodiaq 2.0 TDI,1115000,21171,142,2025,Nafta,Automat,ALU 19',Ne,4x4 DSG,,,,,Sportline,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15804-skoda-kodiaq-2-0-tdi-142kw-4x4-dsg-sportline-alu-19.html
Škoda Superb 3 Lim. Sportline 2.0 TDI,689000,121111,147,2023,Nafta,Automat,ALU 19''+ ALU 17'',Ne,DSG Webasto,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15782-skoda-superb-3-lim-sportline-2-0-tdi-147kw-dsg-webasto-alu-19-alu-17.html
VW Touran Highline 2.0 TDI,528000,175843,110,2023,Nafta,Automat,ALU 17'',Ne,DSG Webasto 7-Míst,,,,,R-Line,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15781-volkswagen-touran-highline-2-0-tdi-110kw-dsg-r-line-webasto-7-mist-alu-17.html
Škoda Superb 3 Combi 2.0 TDI,527000,166134,110,2021,Nafta,Automat,ALU 19'',Ne,DSG Laurin & Klement,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15768-skoda-superb-3-combi-2-0-tdi-110kw-dsg-laurin-klement-alu-19.html
VW Touran Comfortline 2.0 TDI,599000,92662,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15751-volkswagen-touran-comfortline-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
VW Touran Comfortline 2.0 TDI,532000,150005,110,2023,Nafta,Automat,ALU 17''+ ALU 16'',Ne,DSG 7-Míst,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15729-volkswagen-touran-comfortline-2-0-tdi-110kw-dsg-7-mist-alu-17-alu-16.html
Škoda Superb 3 Combi Style 2.0 TDI,528000,133659,110,2023,Nafta,Automat,ALU 17''+ zimní sada,Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15757-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-alu-17-zimni-sada.html
VW Passat B8 Variant 2.0 TDI,472000,115262,110,2021,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15750-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Škoda Superb 3 Combi Style 2.0 TDI,569000,147262,147,2023,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15742-skoda-superb-3-combi-style-2-0-tdi-147kw-4x4-dsg-alu-18-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,562000,125232,147,2021,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15754-skoda-superb-3-combi-style-2-0-tdi-147kw-4x4-dsg-alu-18-alu-17.html
Škoda Kodiaq Style 2.0 TDI,879000,36202,147,2023,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15755-skoda-kodiaq-style-2-0-tdi-147kw-4x4-dsg-alu-18.html
Seat Tarraco 2.0 TDI,591000,158826,110,2022,Nafta,Automat,ALU 19'',Ne,DSG,,,,,FR,,Prodané,Autodraft.cz,https://www.autodraft.cz/detail/15733-seat-tarraco-2-0-tdi-110kw-dsg-fr-alu-19.html
VW Passat B8 Variant 2.0 TDI,437000,166692,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,Variant,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15694-volkswagen-passat-b8-variant-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Škoda Kodiaq Facelift 2.0 TDI,570000,186254,110,2022,Nafta,Automat,ALU 19''+ ALU 18'',Ne,4x4 DSG Webasto,,,,,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15708-skoda-kodiaq-facelift-2-0-tdi-110kw-4x4-dsg-webasto-alu-19-alu-18.html
Škoda Kodiaq 2.0 TDI,777000,111589,147,2024,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG Webasto,,,,,Style,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15723-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-style-webasto-alu-18-alu-17.html
Škoda Kodiaq 2.0 TDI,947000,42355,147,2024,Nafta,Automat,ALU 18'',Ne,4x4 DSG Laurin & Klement,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15713-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-laurin-klement-alu-18.html
Škoda Octavia 4 Combi Scout 2.0 TDI,744000,59358,110,2023,Nafta,Automat,ALU 18''+ zimní pneu,Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15712-skoda-octavia-4-combi-scout-2-0-tdi-110kw-4x4-dsg-alu-18-zimni-pneu.html
Škoda Kodiaq 2.0 TDI,922000,41898,147,2023,Nafta,Automat,ALU 19'',Ne,4x4 DSG Laurin & Klement,,,,,,,Zamluvené,Autodraft.cz,https://www.autodraft.cz/detail/15709-skoda-kodiaq-2-0-tdi-147kw-4x4-dsg-laurin-klement-alu-19.html
Škoda Superb 3 Combi Scout 2.0 TDI,591000,151675,147,2022,Nafta,Automat,ALU 18''+ ALU 17'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15673-skoda-superb-3-scout-combi-2-0-tdi-147kw-4x4-dsg-alu-18-alu-17.html
Škoda Superb 3 Combi Style 2.0 TDI,541000,70922,110,2021,Nafta,Automat,ALU 17'',Ne,DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15711-skoda-superb-3-combi-style-2-0-tdi-110kw-dsg-alu-17.html
Škoda Octavia 4 Combi Scout 2.0 TDI,732000,61666,110,2023,Nafta,Automat,ALU 18'',Ne,4x4 DSG,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15710-skoda-octavia-4-combi-scout-2-0-tdi-110kw-4x4-dsg-alu-18.html
VW Touran Comfortline 2.0 TDI,522000,162170,110,2023,Nafta,Automat,ALU 16''+ zimní sada,Ne,DSG,,,,,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15695-volkswagen-touran-comfortline-2-0-tdi-110kw-dsg-alu-16-zimni-sada.html
Škoda Octavia 4 Combi 2.0 TDI,548000,159739,147,2022,Nafta,Automat,ALU 18'',Ne,4x4 DSG Scout,,,,Combi,,,Dostupný,Autodraft.cz,https://www.autodraft.cz/detail/15200-skoda-octavia-4-combi-2-0-tdi-147kw-4x4-dsg-scout-alu-18.html
