Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
Hyundai Kona 1.0 T-GDI (Benzín),579900,24426,2025,Benzín,1.6,T-GDI,,101,Automatická,Ano,,,Ne,SUV,Style,,,Ojeté,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),730889,,2026,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,N Line,,Tech,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),680889,,2026,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,,,Smart,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),617890,9,2026,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,2WD MT SMART,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),680889,,2026,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,,,Smart,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),700889,,2026,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,Style,,,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),687890,5,2025,Benzín,1.6,TGDI,,102,Manuální,,,,Ne,SUV,Style,,MT LP TT,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),569900,31678,2024,Benzín,1.6,T-GDI,,145,Automatická,,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),695890,10,2026,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,27 MT SMART TECH,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),639000,10,2026,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,7 SMART TECH,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),639900,10,2026,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,2WD NLINE TECH,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),715890,5,2026,Benzín,1.6,T-GDI,,102,Automatická,Ano,,,Ne,SUV,N Line,,TECHNOLOG,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),369000,83305,2021,Benzín,1.6,T-GDI,,145,Automatická,Ano,,,Ne,SUV,,,Smart ČR,Ojeté,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),649000,11800,2024,Benzín,2.0,,,206,Automatická,,,,Ne,SUV,,,N Performance - CZ,Ojeté,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),649990,2000,2026,Benzín,1.6,,,110,Automatická,Ano,,,Ne,SUV,,,KONA Smart tech,Ojeté,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),695890,,2026,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,NLINE,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),695890,,2026,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,NLINE,Nové,Sauto.cz,Ano,
Hyundai Kona 1.0 T-GDI (Benzín),685890,,2026,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,SMART TECH,Nové,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),739990,77141,2021,Nafta,2.2,,,148,Automatická,,,,Ano,SUV,Premium,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),729000,79072,2022,Nafta,2.2,CRDi,,142,Automatická,,,,Ano,SUV,,,Smart 4WD AUT ČR,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),719900,89350,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,Luxury,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),709900,87735,2021,Nafta,2.2,CRDi,,148,Automatická,Ano,,,Ano,SUV,Luxury,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),635000,59411,2023,Nafta,2.2,CRDi,,148,Automatická,,,,Ne,SUV,,,AT8 Smart Technology,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),680000,61361,2022,Nafta,2.2,CRDi,,142,Automatická,,,,Ne,SUV,,Ano,"Záruka, NOVÁ CENA",Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),680000,87014,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,,Ano,"Záruka, NOVÁ CENA",Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),699990,90100,2023,Nafta,2.2,,,142,Automatická,Ano,,,Ano,SUV,Luxury,,22 5s D Pan,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),719900,77165,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,,,4WD Smart,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),675000,48906,2023,Nafta,2.2,CRDi,,142,Automatická,,,,Ne,SUV,,,AT8 Smart Technology,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),709000,67722,2023,Nafta,2.2,CRDi,,142,Automatická,Ano,,,Ano,SUV,,,4WD Smart,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),730000,49556,2023,Nafta,2.2,CRDi,,142,Automatická,,,,Ne,SUV,,,Smart DPH CZ,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),669900,69286,2023,Nafta,2.2,CRDi,,142,Automatická,Ano,,,Ne,SUV,Comfort,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),619900,56683,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ne,SUV,Comfort,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),729999,79124,2022,Nafta,2.2,CRDi,,142,Automatická,Ano,,,Ano,SUV,Style,,C,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),670000,88392,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,,Ano,Záruka,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),749990,52632,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,Luxury,,4WD FULL ČR DPH,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),670000,68254,2023,Nafta,2.2,CRDi,,142,Automatická,,,,Ne,SUV,,,NAVI KAMERA 1. MAJ ČR,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),730000,54076,2023,Nafta,2.2,CRDi,,142,Automatická,Ano,,,Ano,SUV,Style,,4WD ACC,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),726000,82000,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,Kombi,,,pravidelný servis,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),589000,13970,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,Comfort,,T,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),729000,96294,2023,Nafta,2.2,CRDi,,142,Automatická,Ano,,,Ano,Kombi,Luxury,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),699000,84192,2022,Nafta,2.2,CRDi,,142,Automatická,,,,Ano,Kombi,Style,,,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),700000,94143,2021,Nafta,2.2,CRDi,,148,Automatická,,,,Ano,SUV,Premium,,AT,Ojeté,Sauto.cz,Ano,
Hyundai Santa Fe 1.6 T-GDI Hybrid (Gen 5),749000,51700,2022,Nafta,2.2,CRDi,,142,Automatická,,,,Ano,SUV,Luxury,,193 4X4PREMIUM,Ojeté,Sauto.cz,Ano,
Hyundai Staria 2.2,679990,33402,2022,Nafta,2.2,,,130,Manuální,,,,Ne,VAN,Comfort,,CR,Ojeté,Sauto.cz,Ne,
Hyundai Staria 2.2 CRDi,724900,52519,2023,Nafta,2.2,CRDi,,130,Manuální,,,,Ne,VAN,,,Smart,Ojeté,Sauto.cz,Ne,
Hyundai Staria 2.2 CRDi,679900,62768,2024,Nafta,2.2,CRDi,,130,Manuální,,,,Ne,MPV,Comfort,,MT 4x2,Ojeté,Sauto.cz,Ne,
Hyundai Tucson 1.6 T-GDI MHEV,614900,6900,2025,Benzín,1.6,TGDI,,118,Manuální,,,,Ne,SUV,,,SMART 4x2,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,679900,5900,2025,Benzín,1.6,TGDI,,118,Automatická,Ano,,,Ne,SUV,Style,,4x2 FL25,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,674427,1,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,Nový Tucson Smart 11,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,619000,10000,2025,Benzín,1.6,TGDI,,118,Manuální,,,,Ne,SUV,,,MT 2WD SMART,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,625791,1,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,Comfort,,Nový Tucson,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,726507,1,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,N-Line,,,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,659990,63,2024,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,Smart,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,719900,1000,2024,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,6MT GO CZECH! N LIN,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,529990,93659,2021,Nafta,1.6,,,100,Automatická,,,,Ano,SUV,Style,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,549900,40739,2022,Nafta,1.6,CRDi,MHEV,100,Manuální,,,,Ne,SUV,,,Smart 4x2,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,639000,4752,2023,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,"SMART , 6MP -",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,484400,80000,2021,Nafta,2.0,,,136,Automatická,,,,Ano,SUV,TOP,,d AT DPH--ČR!,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,624900,12000,2025,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,Freedom + navi,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,469900,61104,2022,Nafta,1.6,CRDi,MHEV,100,Manuální,,,,Ne,SUV,,,Smart Navi,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,687900,25000,2024,Benzín,1.6,,,132,Manuální,,,,Ne,SUV,,,Freedom Plus 2WD,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,599000,5000,2025,Benzín,1.6,TGDI,,118,Manuální,,,,Ne,SUV,Comfort,,MT 2WD,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,530000,69500,2022,Nafta,1.6,CRDi,,100,Manuální,,,,Ne,SUV,,,NAVI,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,539990,25647,2023,Benzín,1.6,,,110,Manuální,,,,Ne,SUV,,,Smart,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,529900,72312,2021,Benzín,1.6,,MHEV,110,Automatická,,,,Ne,SUV,,,"-ZÁRUKA--TAŽNÉ 1,65t",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,718191,1,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,N-Line,,,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,489000,57485,2021,Benzín,1.6,T-GDI,MHEV,110,Automatická,,,,Ne,SUV,,,"ČR, SERV.KN.",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,569900,43520,2023,Benzín,1.6,T-GDI,MHEV,132,Manuální,,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,599000,5000,2026,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,Comfort,,MT 2WD,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,697890,9000,2025,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,Style,,"""AKČNÍ CENA""",Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,505000,78800,2022,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,,,**Automat*,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,700000,6827,2023,Benzín,1.6,T-GDI,MHEV,132,Automatická,,,,Ano,SUV,,,48V,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,614900,19000,2024,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,Nový Tucson Smart 11,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,579990,34852,2022,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,739990,9,2025,Benzín,1.6,T-GDI,MHEV,118,Automatická,,,,Ne,SUV,N-Line,,AT,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,730890,10,2025,Benzín,1.6,TGDI,,118,Manuální,,,,Ne,SUV,N Line,,MT,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,609900,39254,2024,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,649000,24972,2024,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,,,"FREEDOM , 7AP",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,724900,,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,MY26 GO CZECH!,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,727890,5,2026,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,SP,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,733892,5,2026,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,SP,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,609900,41139,2023,Benzín,1.6,T-GDI,,110,Automatická,Ano,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,719990,6000,2025,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,N-Line,,4x2 6M,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,674990,10,2026,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,,,26 MT GO Czech!,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,747894,5,2025,Benzín,1.6,T-GDI,MHEV,118,Automatická,,,,Ne,SUV,,,Smart 4×2 118 k,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,694790,50,2025,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,20 Years 4x2,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,672890,5,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,SMART,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,722890,5,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,26 2WD GO,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,722890,5,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,26 2WD GO,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,629900,41900,2023,Benzín,1.6,,,110,Manuální,,,,Ne,SUV,,,-V ZÁRUCE-TAŽNÉ,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,704740,5,2025,Benzín,1.6,TGDI,,132,Automatická,Ano,,,Ne,SUV,,,2WD GO,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,744890,16,2026,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,GO CZECH! FL,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,659990,5,2025,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,SMART Manuál,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,669990,6000,2026,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,,,MT GO CZECH,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,732890,9,2026,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,2WD GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,722890,9,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,2WD GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,672890,9,2026,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,,,MT GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,664890,9,2026,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,,,MT GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,732800,5,2026,Benzín,1.6,T-GDI,,110,Automatická,Ano,,,Ne,SUV,,,GO Czech!,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,749900,500,2026,Benzín,1.6,T-GDI,,110,Automatická,Ano,,,Ne,SUV,,,GO Czech!,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,447900,72576,2022,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,Smart ČR,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,599900,61082,2023,Benzín,1.6,T-GDI,,132,Automatická,,,,Ano,SUV,Style,,"A T,DPH",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,748570,5,2026,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,SP,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,739000,15000,2025,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,N Line,,MT GO Czech !,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,704990,9,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,2WD GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,510000,29640,2022,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,,,"Smart, ČR,1.maj",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,748570,5,2026,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,SP,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,727890,5,2026,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,SP,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,639990,24448,2023,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,582900,68285,2022,Nafta,1.6,CRDi,MHEV,100,Automatická,,,,Ano,SUV,Style,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,697890,3,2025,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,,,GO CZECH FWD MT,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,614990,42506,2023,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,,,Freedom,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,609900,59485,2024,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,679990,3,2025,Benzín,1.6,TGDI,,118,Manuální,,,,Ne,SUV,,,GO CZECH FWD MT,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,459900,6500,2022,Nafta,1.6,CRDi,,100,Manuální,,,,Ne,SUV,,,Smart,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,732890,5,2026,Benzín,1.6,T-GDI,,110,Automatická,Ano,,,Ne,SUV,,,GO Czech!,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,600000,37399,2024,Benzín,1.6,T-GDI,MHEV,132,Automatická,,,,Ano,SUV,,,"48V , NOVÁ CENA",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,659900,30653,2024,Benzín,1.6,T-GDI,,110,Automatická,Ano,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,699900,17600,2025,Benzín,1.6,T-GDI,,118,Automatická,Ano,,,Ne,SUV,Style,,,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,659900,25186,2024,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,N-Line,,DPH ZÁRUKA,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,619990,45880,2023,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,685000,20225,2024,Benzín,1.6,TGDI,,118,Manuální,,,,Ne,SUV,Luxury,,25 20 Years,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,480000,75700,2021,Benzín,1.6,T-GDI,,110,Automatická,,,,Ne,SUV,,,"48V,1.maj,ČR",Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,699900,1,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,Style,,"""AKČNÍ CENA""",Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,699900,1,2026,Benzín,1.6,T-GDI,,118,Manuální,,,,Ne,SUV,,,"20 years ""AKČNÍ""",Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,659990,18363,2024,Benzín,1.6,,,118,Automatická,,,,Ne,SUV,,,Smart G4FU,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,704990,9,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,2WD GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,530000,54725,2023,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,N-Line,,NOVÁ CENA,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,479900,49110,2022,Nafta,1.6,CRDi,MHEV,100,Manuální,,,,Ne,SUV,,,Smart,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,707890,10,2026,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,2WD GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,519990,63516,2021,Nafta,1.6,CRDi,,100,Automatická,,,,Ano,SUV,,,Smart,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,579900,84202,2021,Benzín,1.6,T-GDI,,132,Automatická,Ano,,,Ano,SUV,,,STL PRM,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,722890,1,2026,Benzín,1.6,T-GDI,,110,Automatická,Ano,,,Ne,SUV,,,GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,722890,1,2026,Benzín,1.6,,,110,Automatická,,,,Ne,SUV,,,GO CZECH! - limitovaná edice -,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,749990,1,2026,Benzín,1.6,T-GDI,,110,Manuální,,,,Ne,SUV,N Line,,GO CZECH ! 110,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,739990,10000,2025,Benzín,1.6,TGDI,,117,Automatická,Ano,,,Ne,SUV,Style,,25 2WD,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,475000,25800,2024,Benzín,1.6,,,110,Manuální,,,,Ne,SUV,,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,599990,28405,2024,Benzín,1.6,TGDI,,118,Automatická,,,,Ne,SUV,,,Smart,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,689990,14408,2023,Benzín,1.6,T-GDI,,132,Automatická,,,,Ano,SUV,N-Line,,,Ojeté,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,699990,6773,2025,Benzín,1.6,TGDI,,110,Manuální,,,,Ne,SUV,,,MT GO,Předváděcí,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,704990,5,2025,Benzín,1.6,TGDI,,110,Automatická,Ano,,,Ne,SUV,,,26 2WD GO CZECH,Nové,Sauto.cz,Ano,
Hyundai Tucson 1.6 T-GDI MHEV,684990,,2025,,1.6,T-GDI,,,,,,,Ne,,,,Go Czech!,,Sauto.cz,Ano,
