Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Extra,Stav,Zdroj,Spárováno,Odkaz na auto
Audi A5 2.0 TFSI,747000,89088,2021,Benzín,2.0,TFSI,,150,Automatická,,,,Ano,Hatchback,Quattro,,Sportback 40,Ojeté,Sauto.cz,Ne,
Audi A5 2.0 TDI,737900,55950,2022,Nafta,2.0,TDI,,150,Automatická,,,,Ne,Liftback,S-Line,,40 55tkm. ČR,Ojeté,Sauto.cz,Ne,
Audi A6 2.0 TDI,725000,92711,2022,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,Quattro,,AUDI A6 AVANT ČR,Ojeté,Sauto.cz,Ne,
Audi A6 2.0,682000,97551,2021,Nafta,2.0,,,150,Automatická,,,,Ne,Kombi,,,---ZÁLOHOVÁNO---,Ojeté,Sauto.cz,Ne,
Audi A6 2.0 TDI,729000,73785,2021,Nafta,2.0,TDI,,150,Automatická,,,,Ne,Kombi,S-Line,,Avant ČR,Ojeté,Sauto.cz,Ne,
Audi A6 3.0 TDI,749900,65075,2021,Nafta,3.0,TDI,,180,Automatická,,,,Ano,Sedan/limuzína,Quattro,,Sport 45 Stronic,Ojeté,Sauto.cz,Ne,
Audi A6 2.0 TDI,749000,89000,2021,Nafta,2.0,TDI,,150,Automatická,,,,Ne,Kombi,,,40 NezTop ACC Taž,Ojeté,Sauto.cz,Ne,
Audi A6 2.0 TDI,739000,98907,2021,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,S-Line,,40 Q HD MATRIX LED,Ojeté,Sauto.cz,Ne,
Audi A6 2.0 TFSI,722000,89954,2022,Benzín,2.0,TFSI,,195,Automatická,Ano,,,Ne,Kombi,,,45 e,Ojeté,Sauto.cz,Ne,
Audi Q2 35 TFSI (Pohon předních kol),729000,27000,2024,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,SUV,S Line,,35,Ojeté,Sauto.cz,Ano,
