Typ,Model auta,Cena (Kč),Nájezd (km),Rok výroby,Palivo,Objem motoru,Typ motoru,Hybrid typ,Výkon (kW),Převodovka,Dvouspojková převodovka,Filtr pevných částic,Kola,Náhon 4x4,Karoserie,Výbava,Záruka,Tepelné čerpadlo,Spárováno,Skóre shody,Extra,Stav,Zdroj,Odkaz na auto
Spalovací,"Alfa Romeo Stelvio 2.2 JTDM (SUV, Diesel)",690000,48000,2023,Nafta,2.2,,,154,Automatická,,,,Ano,SUV,,,,Ano,6,Super Facelift,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/alfa-romeo/stelvio/210301418
Spalovací,Alfa Romeo Tonale 1.5,705430,34956,2023,Benzín,1.5,,,118,Automatická,,,,Ne,SUV,,,,Ano,,VELOCE*Kamera*Alcantara*,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/alfa-romeo/tonale/210215669
Spalovací,Audi A1 2.0 TFSI,674999,19352,2023,Benzín,2.0,TFSI,,152,Automatická,,,,Ne,Hatchback,S Line,,,Ano,4,40 Sportback,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a1/207600445
Spalovací,Audi A3 Hatchback 35 TFSI,579000,27326,2022,Benzín,1.5,,,110,Automatická,,,,Ne,Hatchback,,,,Ano,,HUD ZÁRUKA LED ACC,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a3/208897593
Spalovací,Audi A3 Hatchback 35 TFSI,718000,18147,2025,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,Hatchback,,,,Ano,5,Sportback 35 Stronic,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a3/209292636
Spalovací,Audi A3 Hatchback 35 TFSI,529990,56101,2021,Benzín,1.5,TSI,,110,Automatická,,,,Ne,Hatchback,,,,Ano,2,,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a3/209341812
Spalovací,Audi A3 Hatchback 35 TFSI,599990,25552,2022,Benzín,1.5,TSI,,110,Automatická,,,,Ne,Hatchback,S-Line,,,Ano,2,,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a3/209383545
Spalovací,Audi A3 Hatchback 35 TFSI,529900,71007,2022,Benzín,1.5,TFSI,,110,Automatická,,,,Ne,Hatchback,,,,Ano,,35 7Stronic,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a3/209568858
Spalovací,Audi A3 Hatchback 35 TFSI,508483,65484,2022,Benzín,1.4,,,150,Automatická,,,,Ne,Hatchback,,,,Ano,,,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a3/210459401
Spalovací,Audi A4 Avant 35 TFSI (Kombi),599900,33125,2022,Benzín,2.0,TSI,,110,Automatická,,,,Ne,Kombi,S Line,,,Ano,,Avant,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/208351016
Spalovací,Audi A4 Avant 35 TFSI (Kombi),699000,67520,2022,Benzín,2.0,TFSI,,195,Automatická,,,,Ano,Kombi,Quattro,,,Ano,,45 ( 265k) S,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/208879485
Spalovací,Audi A4 Avant 35 TFSI (Kombi),538000,41941,2022,Benzín,2.0,,,110,Automatická,,,,Ne,Kombi,,Ano,,Ano,3,,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/209209182
Spalovací,Audi A4 Avant 35 TFSI (Kombi),725000,59102,2024,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,S Line,,,Ano,2,40 A7 TZ,Ojeté,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/210132965
Spalovací,Audi A4 Avant 35 TFSI (Kombi),639000,64000,2022,Nafta,2.0,TDI,,150,Automatická,,,,Ano,Kombi,Quattro,,,Ano,,40,Odstraněno,Sauto.cz,https://www.sauto.cz/osobni/detail/audi/a4-avant/210247667
